Title,Image,Coder 1 Annotation,Coder 2 Annotation,Coder 4 Annotation
God the Father with Two Saints,https://upload.wikimedia.org/wikipedia/commons/6/6c/Pietro_Perugino_cat10.jpg,Dreamcore,Dreamcore,Dreamcore
Portrait of Eleanor of Toledo,https://upload.wikimedia.org/wikipedia/commons/f/f0/Bronzino_-_Eleonora_di_Toledo_col_figlio_Giovanni_-_Google_Art_Project.jpg,Queencore,Queencore,Queencore
The Harlequin's Carnival,https://upload.wikimedia.org/wikipedia/en/2/2d/The_Harlequin%27s_Carnival.jpg,Imaginarium,Imaginarium,Imaginarium
Chez le père Lathuille,https://upload.wikimedia.org/wikipedia/commons/a/ad/Edouard_Manet_031.jpg,Lovecore,Lovecore,Lovecore
"Extreme Unction, c. 1638–1640",https://upload.wikimedia.org/wikipedia/commons/1/12/L%27Extr%C3%AAme_onction_I%2C_vers_1640%2C_Grantham%2C_Belvoir_Castle.jpg,Dark Academia,Peoplehood,Dethereal
Flag (painting),https://upload.wikimedia.org/wikipedia/en/6/6b/Jasper_Johns%27s_%27Flag%27%2C_Encaustic%2C_oil_and_collage_on_fabric_mounted_on_plywood%2C1954-55.jpg,Politicalwave,Coquette,2014 Tumblr
April Love (painting),https://upload.wikimedia.org/wikipedia/commons/7/7e/Arthur_Hughes_-_April_Love_-_Google_Art_Project.jpg,Lovecore,Lovecore,Lovecore
The Dying Dandy,https://upload.wikimedia.org/wikipedia/commons/2/2a/Nils_Dardel_D%C3%B6ende_dandyn.jpg,2014 Tumblr,2014 Tumblr,2014 Tumblr
The Avenue in the Rain,https://upload.wikimedia.org/wikipedia/commons/a/ab/The_Fourth_of_July%2C_1916_Childe_Hassam.jpg,Politicalwave,2014 Tumblr,Politicalwave
Head of the Redeemer,https://upload.wikimedia.org/wikipedia/commons/c/ca/Accademia_-_Trasfigurazione_%28frammenti%29_-_Giovanni_Bellini.jpg,Ethereal,Weirdcore,Hopecore
Pazzi Crucifixion,https://upload.wikimedia.org/wikipedia/commons/a/a4/The_Pazzi_Crucifixion.jpg,Angelcore,Dreamy,Dethereal
The Reading Room (painting),https://upload.wikimedia.org/wikipedia/commons/d/d3/Johann_Peter_Hasenclever_Lesekabinett_1843.jpg,Dark Academia,After Hours,After Hours
"Supper at Emmaus (Caravaggio, London)",https://upload.wikimedia.org/wikipedia/commons/4/4d/1602-3_Caravaggio%2CSupper_at_Emmaus_National_Gallery%2C_London.jpg,Dark Academia,Foodie,Foodie
The Tortoise Trainer,https://upload.wikimedia.org/wikipedia/commons/4/4a/Osman_Hamdi_Bey_-_The_Tortoise_Trainer_-_Google_Art_Project.jpg,Cottagecore,Cottagecore,Cottagecore
Broken Eggs (Metropolitan Museum of Art),https://upload.wikimedia.org/wikipedia/commons/d/d5/Broken_Eggs_MET_DP-12952-001.jpg,Sadpeople,Coquette,Peoplehood
"The King Drinks (Jordaens, Brussels)",https://upload.wikimedia.org/wikipedia/commons/9/97/Jakob_Jordaens_001.jpg,Foodie,Foodie,Foodie
Interior with a Child Feeding a Parrot,https://upload.wikimedia.org/wikipedia/commons/3/30/Pieter_de_Hooch%2C_Interior_with_a_Child_Feeding_a_Parrot.jpg,Peoplehood,Clean Girl,Peoplehood
Flood Plain (painting),https://upload.wikimedia.org/wikipedia/en/2/2b/Andrew_Wyeth_Flood_Plain.png,Naturecore,Liminal Space,Liminal Space
General Officers of World War I,https://upload.wikimedia.org/wikipedia/commons/e/e3/1922_John_Singer_Sargent_-_General_Officers_of_World_War_I.jpg,Trenchcore,Trenchcore,Trenchcore
Head of a Walrus,https://upload.wikimedia.org/wikipedia/commons/5/55/Albrecht_D%C3%BCrer_-_Walrus_-_WGA07101.jpg,Deep Fried Meme,Bastardcore,Naturecore
View of Paris from Vincent's Room in the Rue Lepic,https://upload.wikimedia.org/wikipedia/commons/f/f4/Vincent_van_Gogh_-_View_from_Theo%E2%80%99s_apartment_-_Google_Art_Project.jpg,Liminal Space,Pink Parisian,Pink Parisian
A Lady and Gentleman in Black,https://upload.wikimedia.org/wikipedia/commons/3/37/A_lady_and_gentleman_in_black%2C_by_Rembrandt.jpg,Old Money,Old Money,Old Money
Christ on the Cross (David),https://upload.wikimedia.org/wikipedia/commons/d/db/Jacques-Louis_David_-_Christ_on_the_Cross_-_WGA06049.jpg,Soft Macabre,2014 Tumblr,Dethereal
Still Life with Sweets,https://upload.wikimedia.org/wikipedia/commons/b/b2/Josefa_de_%C3%93bidos_-_Natureza_Morta.jpg,Bloomcore,Bloomcore,Bloomcore
Une fleur,https://upload.wikimedia.org/wikipedia/commons/f/f4/Vlaho_Bukovac_%281855-1922%29_-_Reclining_nude%2C1887.png,Ethereal,Hermaphroditus,Strega
Comminges and Adelaide in the Trappist Monastery,https://upload.wikimedia.org/wikipedia/commons/4/4a/Comminges_et_Ad%C3%A9la%C3%AFde.jpg,Lovecore,Ethereal,Cottagecore
Self-Portrait (Lampi),https://upload.wikimedia.org/wikipedia/commons/e/ed/Vilho_Lampi_-_Self-Portrait.jpg,Sadpeople,Sigma,Bastardcore
Gloucester Harbor (William Morris Hunt),https://upload.wikimedia.org/wikipedia/commons/c/ce/Gloucester_Harbor_William_Morris_Hunt.jpeg,After Hours,Warmcore,Liminal Space
Florinda (painting),https://upload.wikimedia.org/wikipedia/commons/4/41/Franz_Xaver_Winterhalter_Florinda.jpg,Teenage Dream,Coquette,Teenage Dream
Venus plays the Harp (Giovanni Lanfranco),https://upload.wikimedia.org/wikipedia/commons/8/89/Lanfranco%2C_Giovanni_-_Venus_Playing_the_Harp_-_1630-34.jpg,Waif,Waif,Waif
A Girl Asleep,https://upload.wikimedia.org/wikipedia/commons/2/2f/Vermeer_young_women_sleeping.jpg,Comfy/Cozy,Comfy/Cozy,Comfy/Cozy
Portrait of Catherine Balebina,https://upload.wikimedia.org/wikipedia/en/0/02/Portrait_of_Catherine_Balebina.jpg,Waif,Messy French It Girl,Waif
The Hunt in the Forest,https://upload.wikimedia.org/wikipedia/commons/c/c8/Hunt_in_the_forest_by_paolo_uccello.jpg,Naturecore,Castlecore,Naturecore
"Jo, the Beautiful Irishwoman",https://upload.wikimedia.org/wikipedia/commons/8/8b/Gustave_Courbet_-_Jo%2C_la_belle_Irlandaise_%28Priv._collection%29.jpg,Coquette,Bimbocore,Clean Girl
The Martyrdom of Saint Maurice,https://upload.wikimedia.org/wikipedia/commons/a/a1/Martirio_de_San_Mauricio_El_Greco.jpg,Sigma,Ethereal,Ethereal
The Charging Chasseur,https://upload.wikimedia.org/wikipedia/commons/7/7e/GericaultHorseman.jpg,Sigma,Sigma,Old Money
A Young Man Being Introduced to the Seven Liberal Arts,https://upload.wikimedia.org/wikipedia/commons/0/0b/Sandro_Botticelli_028.jpg,Red Academia,Peoplehood,Dark Academia
Virgin Enthroned with Saints (Signorelli),https://upload.wikimedia.org/wikipedia/commons/7/71/Luca_signorelli%2C_vergine_in_trono_e_santi%2C_volterra.jpg,Angelcore,That Girl,Dark Academia
Piping Shepherds (Aelbert Cuyp),https://upload.wikimedia.org/wikipedia/commons/0/07/Cuyp_-_Schafherde_auf_der_Weide_-_St%C3%A4del.jpg,Cottagecore,Cottagecore,Cottagecore
Dressing for the Carnival,https://upload.wikimedia.org/wikipedia/commons/0/07/Winslow_Homer_-_Dressing_for_the_Carnival.jpg,Peoplehood,Southern Gothic,Warmcore
"Moonlight, Wood Island Light",https://upload.wikimedia.org/wikipedia/commons/8/85/Winslow_Homer_-_Moonlight%2C_Wood_Island_Light.jpg,After Hours,Dethereal,Liminal Space
San Marco Altarpiece,https://upload.wikimedia.org/wikipedia/commons/3/30/Fra_Angelico_060.jpg,Angelcore,Coquette,Ethereal
Madonna and Child with St Peter Martyr and a Donor,https://upload.wikimedia.org/wikipedia/commons/1/15/Lotto%2C_Madonna_col_Bambino%2C_san_Pietro_martire_e_un_donatore.jpg,Angelcore,Peoplehood,Dreamcore
La baigneuse blonde (1881),https://upload.wikimedia.org/wikipedia/commons/f/f3/Renoir%2C_Baigneuse_Blonde%2C_1882_PA.jpg,That Girl,Bimbocore,2014 Girly
"Christ Carrying the Cross (Bosch, Vienna)",https://upload.wikimedia.org/wikipedia/commons/b/bd/5_Andrea_di_Bartolo._Way_to_Calvary._c._1400%2C_Thissen-Bornhemisza_coll._Madrid.jpg,Angelcore,2014 Tumblr,Castlecore
The Monarch of the Glen (painting),https://upload.wikimedia.org/wikipedia/commons/6/66/The_Monarch_of_the_Glen%2C_Edwin_Landseer%2C_1851.png,Naturecore,Naturecore,Naturecore
Tabernacle of the Linaioli,https://upload.wikimedia.org/wikipedia/commons/a/aa/Angelico%2C_linaioli_tabernacle_02.jpg,Angelcore,Warmcore,Castlecore
Vues des ports de France,https://upload.wikimedia.org/wikipedia/commons/7/73/Claude-Joseph_Verne_-_L%27entr%C3%A9e_du_port_de_Marseille_%281754%29.jpg,Peoplehood,Pastels,Light Academia
The Second of May 1808,https://upload.wikimedia.org/wikipedia/commons/7/76/El_dos_de_mayo_de_1808_en_Madrid.jpg,Peoplehood,Peoplehood,Trenchcore
A Clinical Lesson at the Salpêtrière,https://upload.wikimedia.org/wikipedia/commons/6/67/Une_le%C3%A7on_clinique_%C3%A0_la_Salp%C3%AAtri%C3%A8re.jpg,Dark Academia,2014 Tumblr,Dark Academia
Madonna of Humility (Fra Angelico),https://upload.wikimedia.org/wikipedia/commons/a/a4/Virgen_humildad-fra_angelico.jpg,Angelcore,Angelcore,Angelcore
David and Jonathan (Rembrandt),https://upload.wikimedia.org/wikipedia/commons/b/b6/Rembrandt_Harmensz._van_Rijn_031.jpg,Sadpeople,Hopecore,Sadpeople
Diana Returning from the Hunt,https://upload.wikimedia.org/wikipedia/commons/c/cf/Fran%C3%A7ois_Boucher_-_Diana_after_the_Hunt_-_WGA02887.jpg,Teenage Dream,Teenage Dream,Teenage Dream
Three of the Players,https://upload.wikimedia.org/wikipedia/en/9/9f/Three_of_the_Players_-_John_Brack_%281953%29.jpg,Deep Fried Meme,Sigma,Deep Fried Meme
Sleeping Venus (Giorgione),https://upload.wikimedia.org/wikipedia/commons/8/86/Giorgione_-_Sleeping_Venus_-_Google_Art_Project_2.jpg,That Girl,Dethereal,That Girl
Madonna of Foligno,https://upload.wikimedia.org/wikipedia/commons/3/35/Madonna_di_Foligno_%28Raphael%29_September_2015-1a.jpg,Angelcore,Angelcore,Angelcore
Annunciation with two Kneeling Donors (Lippi),https://upload.wikimedia.org/wikipedia/commons/f/f1/Fra_Filippo_Lippi_011.jpg,Castlecore,Angelcore,Angelcore
The Threatened Swan,https://upload.wikimedia.org/wikipedia/commons/e/e8/Jan_Asselijn_-_De_bedreigde_zwaan%3B_later_opgevat_als_allegorie_op_Johan_de_Witt_-_Google_Art_Project.jpg,Naturecore,Coquette,Naturecore
Portrait of Christina of Denmark,https://upload.wikimedia.org/wikipedia/commons/9/90/Christina_of_Denmark%2C_Duchess_of_Milan.jpg,Queencore,That Girl,Clean Girl
Santa Lucia de' Magnoli Altarpiece,https://upload.wikimedia.org/wikipedia/commons/9/90/Domenico_Veneziano_002.jpg,Princesscore,Coquette,Dethereal
The Defense of the Sampo,https://upload.wikimedia.org/wikipedia/commons/b/b8/Sammon_puolustus.jpg,Dreamcore,Dreamcore,Imaginarium
White House at Night,https://upload.wikimedia.org/wikipedia/commons/1/16/Whitehousenight.jpg,Cottagecore,Cottagecore,Cottagecore
Fantine (painting),https://upload.wikimedia.org/wikipedia/commons/d/de/Margaret_Bernardine_Hall_-_Fantine_-_Google_Art_Project.jpg,Traumacore,After Hours,Dark Academia
The Weeping Woman (Rembrandt),https://upload.wikimedia.org/wikipedia/en/1/14/Picasso_The_Weeping_Woman_Tate_identifier_T05010_10.jpg,Traumacore,Sadpeople,Sadpeople
Crab on its Back,https://upload.wikimedia.org/wikipedia/commons/e/ec/Crustacean%2C_lying_on_his_back_by_Vincent_van_Gogh_%28Van_Gogh_museum_photogtaph%29.jpg,Naturecore,Bastardcore,Naturecore
Holy Family with a Shepherd,https://upload.wikimedia.org/wikipedia/commons/2/21/Titian_-_The_Holy_Family_with_a_Shepherd_-_Google_Art_Project.jpg,Cottagecore,Cottagecore,Cottagecore
Lady Cockburn and Her Three Eldest Sons,https://upload.wikimedia.org/wikipedia/commons/1/1b/Sir_Joshua_Reynolds_004.jpg,Old Money,Coquette,Comfy/Cozy
Self-portrait with the Colosseum,https://upload.wikimedia.org/wikipedia/commons/3/33/Self-portrait_with_the_Colosseum%2C_by_Maerten_van_Heemskerck.png,Dark Academia,Dark Academia,Dark Academia
Portrait of Leslie W. Miller,https://upload.wikimedia.org/wikipedia/commons/d/df/Eakins%2C_Leslie_W_Miller_1901.jpg,Dark Academia,That Girl,Dark Academia
Lamentation (Gerard David),https://upload.wikimedia.org/wikipedia/commons/b/b2/Gerard_David_-_Lamentation_-_Google_Art_Project.jpg,Sadpeople,Peoplehood,Dethereal
Napoleon I on His Imperial Throne,https://upload.wikimedia.org/wikipedia/commons/2/28/Ingres%2C_Napoleon_on_his_Imperial_throne.jpg,Sigma,Sigma,Sigma
Caspar David Friedrich in his Studio,https://upload.wikimedia.org/wikipedia/commons/f/ff/Georg_Friedrich_Kersting_002.jpg,Cottagecore,Southern Gothic,Light Academia
A Man Reading (Saint Ivo?),https://upload.wikimedia.org/wikipedia/commons/f/fc/Weyden_Ivo.jpg,Comfy/Cozy,Phony Bureaucracy,Dark Academia
Madonna of the Swallow,https://upload.wikimedia.org/wikipedia/commons/f/f7/Carlo_crivelli%2C_madonna_della_rondine%2C_post_1490%2C_da_s._francesco_a_matelica%2C_01.jpg,Queencore,Foodie,Queencore
Portrait of Bishop Bernardo de' Rossi,https://upload.wikimedia.org/wikipedia/commons/d/de/Lorenzo_Lotto_042.jpg,Red Academia,That Girl,Old Money
Susanna and the Elders (Tintoretto),https://upload.wikimedia.org/wikipedia/commons/1/12/Jacopo_Robusti%2C_called_Tintoretto_-_Susanna_and_the_Elders_-_Google_Art_Project.jpg,Clean Girl,Clean Girl,Clean Girl
Triptych of the Annunciation,https://upload.wikimedia.org/wikipedia/commons/c/ce/Master_of_the_Legend_of_Saint_Ursula_-_Triptych_of_the_Annunciation_-_Google_Art_Project.jpg,Ethereal,Ethereal,Ethereal
Self-Portrait with Beret and Turned-Up Collar,https://upload.wikimedia.org/wikipedia/commons/b/bd/Rembrandt_van_Rijn_-_Self-Portrait_-_Google_Art_Project.jpg,Dark Academia,Dark Academia,Dark Academia
The Face of War,https://upload.wikimedia.org/wikipedia/en/a/a9/The_Face_of_War.jpg,Weirdcore,Weirdcore,Weirdcore
The Chess Players (Eakins painting),https://upload.wikimedia.org/wikipedia/commons/6/6d/The_Chess_Players_MET_DT1506.jpg,Dark Academia,Dark Academia,Dark Academia
Charles IV of Spain and His Family,https://upload.wikimedia.org/wikipedia/commons/7/74/La_familia_de_Carlos_IV%2C_por_Francisco_de_Goya.jpg,Old Money,Old Money,Old Money
The Torment of Saint Anthony,https://upload.wikimedia.org/wikipedia/commons/b/b1/Michelangelo_Buonarroti_-_The_Torment_of_Saint_Anthony_-_Google_Art_Project.jpg,Dethereal,Dethereal,Dethereal
A Session of the Painting Jury,https://upload.wikimedia.org/wikipedia/commons/c/cd/Henri_Gervex_-_A_Session_of_the_Painting_Jury_-_Google_Art_Project.jpg,Peoplehood,Pastels,Dark Academia
Mother with a Child and a Chambermaid,https://upload.wikimedia.org/wikipedia/commons/e/e6/SA_7518-Binnenhuis_met_moeder_en_kind%2C_%27Moedervreugd%27.jpg,Old Money,That Girl,That Girl
The Lace Maker,https://upload.wikimedia.org/wikipedia/commons/8/8d/%22The_Lace-Maker%22_by_Caspar_Netscher.jpg,Dazecore,Cottagecore,Clean Girl
Portrait of Vincenzo Mosti,https://upload.wikimedia.org/wikipedia/commons/2/20/Tizian_071.jpg,Dark Academia,That Girl,Dark Academia
Aline Chassériau,https://upload.wikimedia.org/wikipedia/commons/7/7d/Aline_Chasseriau_portrait.jpg,Dark Academia,2014 Tumblr,Clean Girl
"Impression, Sunrise",https://upload.wikimedia.org/wikipedia/commons/5/54/Claude_Monet%2C_Impression%2C_soleil_levant.jpg,After Hours,Hopecore,Liminal Space
Christ Crucified (Velázquez),https://upload.wikimedia.org/wikipedia/commons/d/d7/Cristo_crucificado.jpg,Southern Gothic,Hopecore,Dethereal
The Fall of the Rebel Angels (Bruegel),https://upload.wikimedia.org/wikipedia/commons/9/9d/Pieter_Bruegel_the_Elder_-_The_Fall_of_the_Rebel_Angels_-_RMFAB_584_%28derivative_work%29.jpg,Angelcore,Bastardcore,Weirdcore
"Holy Family (El Greco, Museo de Santa Cruz)",https://upload.wikimedia.org/wikipedia/commons/5/51/El_Greco_-_The_Holy_Family_-_WGA10482.jpg,Ethereal,Ethereal,Dethereal
Judith at the Banquet of Holofernes,https://upload.wikimedia.org/wikipedia/commons/d/da/Artemisia%2C_by_Rembrandt%2C_from_Prado_in_Google_Earth.jpg,Queencore,Queencore,Queencore
Portrait of George Dyer Talking,https://upload.wikimedia.org/wikipedia/en/b/b2/Francis_Bacon_-_Portrait_of_George_Dyer_Talking_%28reduced_300px%29.jpg,Weirdcore,Weirdcore,Weirdcore
The Babylonian Marriage Market,https://upload.wikimedia.org/wikipedia/commons/7/75/Babylonian_marriage_market.jpg,Peoplehood,2014 Tumblr,Sadpeople
Lamentation of Christ (Massys),https://upload.wikimedia.org/wikipedia/commons/a/a0/Quentin_Massys_002.jpg,Dethereal,Dethereal,Dethereal
The Laundress (Greuze),https://upload.wikimedia.org/wikipedia/commons/a/a6/Jean-Baptiste_Greuze_%28French_-_The_Laundress_%28La_Blanchisseuse%29_-_Google_Art_Project.jpg,Vanilla Girl,That Girl,Cottagecore
Hercules fighting Nemean lion,https://upload.wikimedia.org/wikipedia/commons/5/58/H%C3%A9rcules_lucha_con_el_le%C3%B3n_de_Nemea%2C_por_Zurbar%C3%A1n.jpg,Sigma,Sigma,Sigma
Panciatichi Assumption,https://upload.wikimedia.org/wikipedia/commons/d/de/Andrea_del_Sarto_-_Assumption_of_the_Virgin_-_WGA0402.jpg,Dark Academia,Dreamcore,Dethereal
Perseus Freeing Andromeda (Rubens),https://upload.wikimedia.org/wikipedia/commons/9/97/Peter_Paul_Rubens_-_Perseus_Freeing_Andromeda_-_WGA20306.jpg,Angelcore,Hermaphroditus,Angelcore
Girl with a Racquet,https://upload.wikimedia.org/wikipedia/commons/e/ec/Jean-Baptiste_Sim%C3%A9on_Chardin_002.jpg,Coquette,Coquette,Coquette
The Light of the World (painting),https://upload.wikimedia.org/wikipedia/commons/1/10/Hunt_Light_of_the_World.jpg,Dreamcore,Castlecore,Dreamcore
Cardplayers in a Sunlit Room,https://upload.wikimedia.org/wikipedia/commons/4/4a/Card_Players_in_a_sunlit_Room%2C_by_Pieter_de_Hooch.jpg,Comfy/Cozy,That Girl,Light Academia
"Landscape, Branchville",https://upload.wikimedia.org/wikipedia/commons/f/fe/JHTwachtmanBranchville.jpg,Naturecore,Naturecore,Naturecore
The Man with the Golden Helmet,https://upload.wikimedia.org/wikipedia/commons/5/55/Rembrandt_%28circle%29_-_The_Man_with_the_Golden_Helmet_-_Google_Art_Project.jpg,Sigma,Castlecore,Dark Academia
The Scream,https://upload.wikimedia.org/wikipedia/commons/c/c5/Edvard_Munch%2C_1893%2C_The_Scream%2C_oil%2C_tempera_and_pastel_on_cardboard%2C_91_x_73_cm%2C_National_Gallery_of_Norway.jpg,Doomer,After Hours,Dazecore
West Wyalong (Drysdale),https://upload.wikimedia.org/wikipedia/en/a/ab/West_Wyalong_Drysdale.jpg,After Hours,Liminal Space,Liminal Space
Landscape with a Church at Twilight,https://upload.wikimedia.org/wikipedia/commons/8/8e/Landscape_with_a_Church_at_Twilight.jpg,After Hours,Southern Gothic,Southern Gothic
Portrait of François Buron,https://upload.wikimedia.org/wikipedia/commons/7/7f/Jacques-Louis_David_-_Portrait_of_Fran%C3%A7ois_Buron_-_WGA6038.jpg,Grandpacore,Coquette,Old Money
Breton Women at a Wall,https://upload.wikimedia.org/wikipedia/commons/e/e1/%C3%89mile_Bernard_Breton_Women_at_a_Wall.jpg,Cottagecore,Cottagecore,Cottagecore
Landscape with Dunes,https://upload.wikimedia.org/wikipedia/commons/3/36/Landscape_with_Dunes.jpg,Naturecore,Naturecore,Naturecore
Triptych of the Sedano family,https://upload.wikimedia.org/wikipedia/commons/e/ee/Gerard_David_Tryptique_de_la_famille_Sedano_Bruges_1523.jpg,Old Money,Castlecore,Ethereal
Nursing Madonna with an Angel,https://upload.wikimedia.org/wikipedia/commons/9/93/Correggio-%28antonio-allegri%29-madonna-del-latte-36018-p.jpg,Angelcore,Warmcore,Angelcore
"Portrait of a Woman, probably a Member of the Van Beresteyn Family",https://upload.wikimedia.org/wikipedia/commons/e/e6/Rembrandt_-_Portrait_of_a_woman%2C_possibly_a_member_of_the_Beresteyn_family_-_MET_DP145399.jpg,Waif,That Girl,Old Money
Jesus and the Samaritan Woman,https://upload.wikimedia.org/wikipedia/commons/1/1a/Angelika_Kauffmann_-_Christus_und_die_Samariterin_am_Brunnen_-1796.jpeg,Peoplehood,Peoplehood,Cottagecore
Roman Capriccio: The Pantheon and Other Monuments,https://upload.wikimedia.org/wikipedia/commons/6/6b/Roman_Capriccio_The_Pantheon_and_Other_Monuments_by_Giovanni_Paolo_Panini.jpg,Liminal Space,Light Academia,Light Academia
The Repast of the Lion,https://upload.wikimedia.org/wikipedia/commons/6/6d/Rousseau_theRepastOfTheLion.jpg,Naturecore,Naturecore,Naturecore
Altarpiece of the Holy Sacrament,https://upload.wikimedia.org/wikipedia/commons/d/dc/Dieric_Bouts_-_The_Last_Supper_-_WGA03003.jpg,Red Academia,Southern Gothic,Foodie
Madonna with Child Enthroned between Saints John the Baptist and Sebastian,https://upload.wikimedia.org/wikipedia/commons/5/55/Pietro_Perugino_cat30.jpg,Angelcore,2014 Tumblr,Ethereal
Stańczyk (painting),https://upload.wikimedia.org/wikipedia/commons/7/78/Jan_Matejko%2C_Sta%C5%84czyk.jpg,Red Academia,Red Academia,Red Academia
Hunter's Home,https://upload.wikimedia.org/wikipedia/commons/c/cb/Jagerswoning_Rijksmuseum_SK-A-1157.jpeg,Cottagecore,Cottagecore,Cottagecore
Dresden Triptych,https://upload.wikimedia.org/wikipedia/commons/7/7e/Jan_van_Eyck_-_Triptych_of_Mary_and_Child%2C_St._Michael%2C_and_the_Catherine_-_Google_Art_Project.jpg,Queencore,Ethereal,Castlecore
The Destruction of Sodom And Gomorrah,https://upload.wikimedia.org/wikipedia/commons/e/e1/John_Martin_-_Sodom_and_Gomorrah.jpg,Dethereal,Doomer,Dethereal
Battle of Grunwald (Matejko),https://upload.wikimedia.org/wikipedia/commons/3/38/Jan_Matejko%2C_Bitwa_pod_Grunwaldem.jpg,Peoplehood,Sigma,Dethereal
Circe Invidiosa,https://upload.wikimedia.org/wikipedia/commons/6/63/Circe_Invidiosa_-_John_William_Waterhouse.jpg,Strega,Dethereal,Strega
Portrait of Margaret van Eyck,https://upload.wikimedia.org/wikipedia/commons/e/ee/Portrait_of_Margaret_van_Eyck.jpg,Grandparentcore,Southern Gothic,Old Money
Mademoiselle Caroline Rivière,https://upload.wikimedia.org/wikipedia/commons/3/34/Jean_Auguste_Dominique_Ingres_-_Mademoiselle_Caroline_Rivi%C3%A8re_-_WGA11837.jpg,That Girl,That Girl,That Girl
Dead Germans in a Trench,https://upload.wikimedia.org/wikipedia/commons/5/50/Orpen%2C_William_%28Sir%29_%28RA%29_-_Dead_Germans_in_a_Trench_-_Google_Art_Project.jpg,Trenchcore,Soft Macabre,Trenchcore
Return of the Sun,https://upload.wikimedia.org/wikipedia/en/1/11/Odd_Nerdrum_Return_of_the_Sun.png,Dreamcore,Peoplehood,Dreamcore
Stitching the Standard,https://upload.wikimedia.org/wikipedia/commons/0/0c/Leighton-Stitching_the_Standard.jpg,That Girl,Castlecore,That Girl
The Loves of Paris and Helen,https://upload.wikimedia.org/wikipedia/commons/d/d1/The_Love_of_Paris_and_Helen_by_Jacques-Louis_David.jpg,Lovecore,Lovecore,Lovecore
The Battle of Waterloo: The British Squares Receiving the Charge of the French Cuirassiers,https://upload.wikimedia.org/wikipedia/commons/7/7a/Charge_of_the_French_Cuirassiers_at_Waterloo.jpg,Trenchcore,Sigma,Trenchcore
The Demon Downcast,https://upload.wikimedia.org/wikipedia/commons/4/46/Fallendemon.jpg,Dethereal,Dethereal,Dethereal
The Vision of the Cross,https://upload.wikimedia.org/wikipedia/commons/6/67/School_of_Raphael_-_Vision_of_the_Cross.jpg,Angelcore,Dreamcore,Light Academia
Landscape with Saint John on Patmos,https://upload.wikimedia.org/wikipedia/commons/5/50/Nicolas_Poussin_-_Landscape_with_Saint_John_on_Patmos_-_Google_Art_Project.jpg,Naturecore,Light Academia,Light Academia
Christ the Redeemer (Mantegna),https://upload.wikimedia.org/wikipedia/commons/a/a1/Kristus_som_den_lidende_frelser.jpg,Angelcore,Angelcore,Angelcore
Portrait of Isabel Rawsthorne Standing in a Street in Soho,https://upload.wikimedia.org/wikipedia/en/b/b9/Isabel_Rawsthorn_Standing_in_a_Street_In_Soho.jpg,Messy French It Girl,Messy French It Girl,Messy French It Girl
Panorama Mesdag,https://upload.wikimedia.org/wikipedia/commons/8/8b/Mesdag-Scheveningen.png,Liminal Space,Liminal Space,Liminal Space
The Swing (Pierre-Auguste Renoir),https://upload.wikimedia.org/wikipedia/commons/2/26/Swing-Renoir.jpeg,Coquette,Coquette,Coquette
Watson and the Shark,https://upload.wikimedia.org/wikipedia/commons/f/f3/John_Singleton_Copley_-_Watson_and_the_Shark_%28Detroit%29.jpg,Naturecore,That Girl,Dark Academia
Madonna della tenda,https://upload.wikimedia.org/wikipedia/commons/2/2c/Raffael_027.jpg,Angelcore,Peoplehood,Angelcore
The Seamstress (painting),https://upload.wikimedia.org/wikipedia/commons/f/fb/Seamstress_by_Edouard_Vuillard.jpg,Pastels,Pastels,Pastels
Consecration of Aloysius Gonzaga as patron saint of youth,https://upload.wikimedia.org/wikipedia/commons/b/b9/Consagraci%C3%B3n_de_San_Luis_Gonzaga.jpg,Angelcore,Dreamy,Ethereal
Self-portrait with Easel,https://upload.wikimedia.org/wikipedia/commons/2/27/Michaelina_Wautier_-_self-portrait_with_easel.jpg,Dark Academia,Dark Academia,Dark Academia
Virgin and Child with Saints Barbara and Catherine,https://upload.wikimedia.org/wikipedia/commons/5/58/Quinten_Massys_-_The_Virgin_and_Child_with_Saints_Barbara_and_Catherine_-_Google_Art_Project.jpg,Princesscore,Peoplehood,Queencore
Spring (Édouard Manet painting),https://upload.wikimedia.org/wikipedia/commons/a/a6/Edouard_Manet_023.jpg,Coquette,Coquette,Coquette
Reclining Nayar lady,https://upload.wikimedia.org/wikipedia/commons/5/59/Raja_Ravi_Varma%2C_Reclining_Woman.jpg,Princesscore,Princesscore,Princesscore
Cubist Landscape,https://upload.wikimedia.org/wikipedia/en/b/b5/Albert_Gleizes%2C_1914%2C_Paysage_Cubiste%2C_oil_on_canvas%2C_97_x_130_cm%2C_published_in_Der_Sturm%2C_5_October_1920.jpg,Imaginarium,Imaginarium,Imaginarium
Trigraph of Christ,https://upload.wikimedia.org/wikipedia/commons/c/ce/Mantegna%2C_monogramma_di_cristo_tra_i_santi_antonio_e_bernardino.jpg,Old Money,Warmcore,Ethereal
Portrait of a Young Gentleman,https://upload.wikimedia.org/wikipedia/commons/e/e5/Portrait_of_a_gentleman%2C_by_Rembrandt_%28circa_1634%29.jpg,Dark Academia,Coquette,Old Money
"Shirley Temple, The Youngest, Most Sacred Monster of the Cinema in Her Time",https://upload.wikimedia.org/wikipedia/en/b/b4/Dali_Temple_image.jpg,Weirdcore,Weirdcore,Weirdcore
